inventory_id,hospital_id,component_id,blood_group,units_available,received_date,expiry_date,status
1,1,3,O+,6,2025-12-16,2026-12-16,Available
2,1,4,AB+,8,2026-07-04,2026-07-09,Expiring
3,1,3,O-,10,2026-03-13,2027-03-13,Allocated
4,1,4,O-,4,2026-06-29,2026-07-04,Expired
5,1,4,B-,6,2026-06-28,2026-07-03,Expired
6,1,2,B+,10,2026-06-05,2026-07-17,Available
7,1,3,A+,6,2026-01-27,2027-01-27,Available
8,1,2,AB+,2,2026-05-26,2026-07-07,Expiring
9,1,4,A-,9,2026-07-04,2026-07-09,Expiring
10,1,1,A+,4,2026-06-25,2026-07-30,Available
11,1,1,B+,10,2026-06-04,2026-07-09,Expiring
12,1,2,A+,2,2026-06-20,2026-08-01,Available
13,1,3,B+,8,2025-08-24,2026-08-24,Available
14,1,1,A+,4,2026-05-30,2026-07-04,Expired
15,1,1,B-,8,2026-07-02,2026-08-06,Available
16,1,2,B+,6,2026-06-16,2026-07-28,Available
17,1,2,B+,6,2026-07-03,2026-08-14,Available
18,1,3,B+,7,2025-09-02,2026-09-02,Available
19,1,3,AB+,4,2026-02-18,2027-02-18,Available
20,1,2,A+,9,2026-06-04,2026-07-16,Available
21,1,4,B+,4,2026-06-25,2026-06-30,Expired
22,1,3,A+,8,2026-01-22,2027-01-22,Available
23,1,4,A-,9,2026-06-27,2026-07-02,Expired
24,1,1,B+,2,2026-06-30,2026-08-04,Available
25,1,3,O+,7,2026-05-27,2027-05-27,Available
26,1,1,B+,3,2026-07-05,2026-08-09,Available
27,1,1,A+,3,2026-06-28,2026-08-02,Available
28,1,1,O+,1,2026-06-28,2026-08-02,Available
29,1,3,B+,3,2025-10-25,2026-10-25,Available
30,1,1,B+,8,2026-06-02,2026-07-07,Expiring
31,1,4,B+,9,2026-07-03,2026-07-08,Expiring
32,1,1,A+,7,2026-06-09,2026-07-14,Available
33,1,4,AB+,7,2026-07-04,2026-07-09,Expiring
34,1,3,B+,5,2026-02-05,2027-02-05,Available
35,1,1,B+,6,2026-05-27,2026-07-01,Expired
36,1,3,A+,3,2025-09-20,2026-09-20,Available
37,1,2,AB+,4,2026-06-02,2026-07-14,Available
38,1,2,B+,6,2026-05-21,2026-07-02,Expired
39,1,4,O+,10,2026-06-27,2026-07-02,Expired
40,1,1,B+,8,2026-06-19,2026-07-24,Available
41,1,4,B+,3,2026-06-30,2026-07-05,Expiring
42,1,3,O+,9,2026-04-12,2027-04-12,Available
43,1,4,AB+,1,2026-06-28,2026-07-03,Expired
44,1,2,B+,7,2026-06-15,2026-07-27,Available
45,1,4,A+,2,2026-06-28,2026-07-03,Expired
46,1,1,O+,5,2026-07-05,2026-08-09,Available
47,1,4,A-,2,2026-07-02,2026-07-07,Expiring
48,1,1,AB-,8,2026-06-01,2026-07-06,Expiring
49,1,4,A-,2,2026-06-30,2026-07-05,Expiring
50,1,3,B-,10,2026-06-04,2027-06-04,Available
51,1,4,B+,2,2026-07-03,2026-07-08,Expiring
52,1,3,A+,9,2026-01-07,2027-01-07,Available
53,1,3,A+,1,2026-01-10,2027-01-10,Allocated
54,1,3,A+,5,2026-02-15,2027-02-15,Available
55,1,2,B+,10,2026-06-08,2026-07-20,Available
56,1,2,A+,10,2026-06-12,2026-07-24,Available
57,1,2,O+,9,2026-06-19,2026-07-31,Available
58,1,2,O-,4,2026-05-24,2026-07-05,Expiring
59,1,4,B+,10,2026-07-04,2026-07-09,Expiring
60,1,1,AB+,2,2026-06-26,2026-07-31,Available
61,1,1,A-,3,2026-06-18,2026-07-23,Available
62,1,4,A+,3,2026-07-04,2026-07-09,Expiring
63,1,3,A+,10,2025-10-11,2026-10-11,Available
64,1,4,AB-,6,2026-06-29,2026-07-04,Expired
65,1,3,A+,10,2025-09-14,2026-09-14,Available
66,1,3,B+,8,2025-08-24,2026-08-24,Available
67,1,4,A+,4,2026-07-05,2026-07-10,Expiring
68,1,2,A+,2,2026-06-22,2026-08-03,Allocated
