event_id,event_name,event_type,start_date,end_date,severity,demand_multiplier
1,New Year Celebrations,Festival,2024-08-09,2024-08-10,High,1.4
2,New Year Celebrations,Festival,2024-08-14,2024-08-15,High,1.4
3,Major Highway Pileup,Accident,2024-08-16,2024-08-16,High,1.8
4,New Year Celebrations,Festival,2024-10-12,2024-10-13,High,1.4
5,Seasonal Dengue Spike,Outbreak,2024-10-18,2024-11-07,Medium,1.3
6,New Year Celebrations,Festival,2024-10-27,2024-10-28,High,1.4
7,Independence Day Parade,Festival,2024-11-06,2024-11-06,Medium,1.2
8,Winter Flu Outbreak,Outbreak,2024-12-04,2024-12-17,Medium,1.25
9,Major Highway Pileup,Accident,2025-02-28,2025-02-28,High,1.8
10,Summer Music Festival,Festival,2025-03-22,2025-03-24,Medium,1.3
11,Seasonal Dengue Spike,Outbreak,2025-04-22,2025-05-12,Medium,1.3
12,Industrial Plant Explosion,Mass Casualty,2025-09-20,2025-09-21,High,2.0
13,Winter Flu Outbreak,Outbreak,2026-01-24,2026-02-06,Medium,1.25
14,Summer Music Festival,Festival,2026-03-11,2026-03-13,Medium,1.3
15,New Year Celebrations,Festival,2026-04-30,2026-05-01,High,1.4
